"X","Ind_ID","SensType","Sens_ID","TypeOfData","Date","LAT","LON","Precision","ground_elevation","origin","Sex","TypeOfActivity","Ind_status","Birth_date","Cohort","Death_date","ageofdeath","Station_ID","release_date","release_lat","release_lon","Country","Nb_Individuals","ProjectProd","Population"
6063009,9651011,"Satellite",4617850,"GPS","8/8/2018 2:00:00",39.75417,65.40883,26,336,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063010,9651011,"Satellite",4617850,"GPS","6/2/2018 8:00:00",39.75483,65.35167,26,311,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063011,9651011,"Satellite",4617850,"GPS","10/14/2018 8:00:00",39.77567,65.41817,26,352,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063012,9651011,"Satellite",4617850,"GPS","11/16/2018 4:00:00",29.69067,61.81117,26,470,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063013,9651011,"Satellite",4617850,"GPS","11/15/2018 18:00:00",29.69067,61.81133,26,470,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063014,9651011,"Satellite",4617850,"GPS","5/24/2019 8:00:00",40.19283,64.06483,26,202,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063017,9651011,"Satellite",4617850,"GPS","7/9/2019 22:00:00",40.48483,64.78067,26,270,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063018,9651011,"Satellite",4617850,"GPS","2/16/2019 10:00:00",28.10583,61.31683,26,1378,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063019,9651011,"Satellite",4617850,"GPS","11/15/2018 0:00:00",29.685,61.80683,26,460,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063020,9651011,"Satellite",4617850,"GPS","12/4/2018 18:00:00",28.09767,61.31933,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063021,9651011,"Satellite",4617850,"GPS","6/2/2018 12:00:00",39.75333,65.35067,26,311,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063023,9651011,"Satellite",4617850,"GPS","8/7/2018 14:00:00",39.74133,65.39917,26,321,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063024,9651011,"Satellite",4617850,"GPS","3/21/2019 4:00:00",32.1165,61.72383,26,583,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063025,9651011,"Satellite",4617850,"GPS","3/25/2019 16:00:00",34.10183,60.9985,26,715,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063026,9651011,"Satellite",4617850,"GPS","9/28/2018 8:00:00",39.7475,65.432,26,337,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063028,9651011,"Satellite",4617850,"GPS","7/8/2019 4:00:00",40.4745,64.77967,26,269,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063029,9651011,"Satellite",4617850,"GPS","8/13/2019 4:00:00",40.166,64.09983,26,206,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063030,9651011,"Satellite",4617850,"GPS","10/14/2018 12:00:00",39.76333,65.41783,26,343,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063031,9651011,"Satellite",4617850,"GPS","8/11/2018 12:00:00",39.74733,65.39183,26,325,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063032,9651011,"Satellite",4617850,"GPS","8/12/2019 10:00:00",40.161,64.09983,26,206,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063033,9651011,"Satellite",4617850,"GPS","3/11/2019 14:00:00",29.38317,61.57717,26,760,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063034,9651011,"Satellite",4617850,"GPS","6/2/2018 14:00:00",39.741,65.376,26,315,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063035,9651011,"Satellite",4617850,"GPS","1/23/2019 12:00:00",28.09667,61.32317,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063036,9651011,"Satellite",4617850,"GPS","11/28/2018 18:00:00",28.09683,61.31517,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063037,9651011,"Satellite",4617850,"GPS","5/24/2019 18:00:00",40.2005,64.06317,26,203,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063038,9651011,"Satellite",4617850,"GPS","5/7/2019 4:00:00",39.9235,64.0035,26,203,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063039,9651011,"Satellite",4617850,"GPS","8/9/2018 6:00:00",39.75967,65.41383,26,339,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063040,9651011,"Satellite",4617850,"GPS","9/29/2018 0:00:00",39.71333,65.44833,26,324,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063041,9651011,"Satellite",4617850,"GPS","1/4/2019 10:00:00",28.09067,61.32367,26,1374,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
6063042,9651011,"Satellite",4617850,"GPS","2/17/2019 8:00:00",28.09583,61.317,26,1369,"wild","unknown","Capture","dead",NA,2018,"9/12/2019",NA,58618952,"23/05/2018 03:20:00",39.75645,65.37476,"Uzbekistan",NA,NA,NA
